ISSN	Título	Área de Avaliação	Estrato
20499957	INFECTIOUS DISEASES OF POVERTY (ONLINE)	BIODIVERSIDADE	A2
20500068	CLINICAL & TRANSLATIONAL IMMUNOLOGY	CIÊNCIAS BIOLÓGICAS III                           	A1
20500505	ENERGY SCIENCE & ENGINEERING	CIÊNCIAS AGRÁRIAS I                               	A4
20500521	SEXUAL MEDICINE REVIEWS	EDUCAÇÃO FÍSICA                                   	A1
2050084X	ELIFE	BIODIVERSIDADE	A1
20500904	CLINICAL CASE REPORTS	CIÊNCIAS BIOLÓGICAS I                             	B2
20501161	SEXUAL MEDICINE (ONLINE)	FARMÁCIA                                          	A4
20501218	JOURNAL OF REGENERATIVE MEDICINE & TISSUE ENGINEERING	ENGENHARIAS III                                   	B3
20501684	PRIMARY DENTAL JOURNAL	MEDICINA II                                       	B2
20502060	STUDIES IN MEDIA AND COMMUNICATION	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
20502974	JOURNAL OF EATING DISORDERS	EDUCAÇÃO FÍSICA                                   	A3
20503121	SAGE OPEN MEDICINE	CIÊNCIAS BIOLÓGICAS III                           	B2
2050313X	SAGE OPEN MEDICAL CASE REPORTS	CIÊNCIAS AMBIENTAIS	B3
20503377	ARRHYTHMIA & ELECTROPHYSIOLOGY REVIEW	MEDICINA I                                        	A3
20503911	PROGRESS OF THEORETICAL AND EXPERIMENTAL PHYSICS	ASTRONOMIA / FÍSICA                               	A2
20504527	IMMUNITY, INFLAMMATION AND DISEASE	CIÊNCIAS BIOLÓGICAS I                             	A4
20504845	STUDIES IN SPANISH & LATIN AMERICAN CINEMAS	COMUNICAÇÃO E INFORMAÇÃO	B1
20505698	MICROSCOPY	ODONTOLOGIA                                       	B1
20505736	JOURNAL OF THERAPEUTIC ULTRASOUND	ENGENHARIAS IV                                    	A3
20506120	METHODS AND APPLICATIONS IN FLUORESCENCE	ASTRONOMIA / FÍSICA                               	A2
20506201	EVOLUTION, MEDICINE, AND PUBLIC HEALTH	MEDICINA I                                        	A1
20506252	SURFACE INNOVATIONS	ENGENHARIAS III                                   	A2
20506406	UNITED EUROPEAN GASTROENTEROL JOURNAL	MEDICINA I                                        	A3
20506511	BMC PHARMACOLOGY AND TOXICOLOGY	BIODIVERSIDADE	A4
20506902	INTERNATIONAL JOURNAL OF NONLINEAR DYNAMICS AND CONTROL (IMPRESSO)	ASTRONOMIA / FÍSICA                               	C
20507003	JOURNAL OF APPLIED RESEARCH IN HIGHER EDUCATION	EDUCAÇÃO                                          	B4
20507038	INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS.	CIÊNCIA DA COMPUTAÇÃO                             	A4
20507283	BMC PSYCHOLOGY	ARTES	A3
20507364	DISABILITY AND THE GLOBAL SOUTH	PSICOLOGIA                                        	B2
20507399	INTERNATIONAL JOURNAL OF SUPPLY CHAIN MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	C
20507488	JOURNAL OF MATERIALS CHEMISTRY A	ASTRONOMIA / FÍSICA                               	A1
2050750X	JOURNAL OF MATERIALS CHEMISTRY B	ASTRONOMIA / FÍSICA                               	A1
20507526	JOURNAL OF MATERIALS CHEMISTRY C	ASTRONOMIA / FÍSICA                               	A1
20507771	BIOMARKER RESEARCH (ONLINE)	MEDICINA I                                        	A2
20507887	ENVIRONMENTAL SCIENCE: PROCESSES & IMPACTS	ASTRONOMIA / FÍSICA                               	A2
20508840	THEORY AND PRACTICE OF LEGISLATION	DIREITO                                           	A1
20509014	LAW AND ECONOMICS  YEARLY REVIEW	CIÊNCIAS AMBIENTAIS	A4
20509928	ARACHNOLOGY - JOURNAL OF THE BRITISH ARACHNOLOGICAL SCOCIETY	BIODIVERSIDADE	B3
20510136	THERAPEUTIC ADVANCES IN VACCINES AND IMMUNOTHERAPY	CIÊNCIAS BIOLÓGICAS I                             	C
20511310	JOURNAL OF COMPLEX NETWORKS	ASTRONOMIA / FÍSICA                               	A2
20511426	JOURNAL FOR IMMUNOTHERAPY OF CANCER	CIÊNCIAS BIOLÓGICAS I                             	A1
20511434	CONSERVATION PHYSIOLOGY	BIODIVERSIDADE	A2
20513305	THE JOURNAL OF ENGINEERING	ENGENHARIAS III                                   	B2
20513429	JOURNAL OF CONTEMPORARY ARCHAEOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
20513933	MOVEMENT ECOLOGY	BIODIVERSIDADE	A2
20514190	BASIC AND CLINICAL ANDROLOGY	CIÊNCIAS BIOLÓGICAS II                            	A2
20515367	HEGEL BULLETIN (IMPRESSO)	FILOSOFIA	A2
20515375	HEGEL BULLETIN	FILOSOFIA	A2
20515855	INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND SYSTEMS ENGINEERING (ONLINE)	ENGENHARIAS III                                   	C
20515960	ACTA NEUROPATHOLOGICA COMMUNICATIONS	CIÊNCIAS BIOLÓGICAS I                             	A1
20516185	LITHIC TECHNOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	B2
20516347	MATERIALS HORIZONS	ASTRONOMIA / FÍSICA                               	A1
2051672X	SURFACE TOPOGRAPHY: METROLOGY AND PROPERTIES	ENGENHARIAS III                                   	A3
20517106	INTERNATIONAL JOURNAL OF FASHION STUDIES	ARTES	A4
20517734	JOURNAL OF FOOD ENGINEERING AND TECHNOLOGY	ASTRONOMIA / FÍSICA                               	B4
20517750	JOURNAL OF MATERIALS AND APPLICATIONS (ONLINE)	ENGENHARIAS III                                   	C
2051803X	ENVIRONMENTAL GEOTECHNICS	ENGENHARIAS I                                     	A2
20518153	ENVIRONMENTAL SCIENCE: NANO	BIODIVERSIDADE	A1
2051817X	PHYSIOLOGICAL REPORTS	ASTRONOMIA / FÍSICA                               	B1
20520336	LATIN AMERICAN JOURNAL OF MANAGEMENT FOR SUSTAINABLE DEVELOPMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
20520344	LATIN AMERICAN JOURNAL OF MANAGEMENT FOR SUSTAINABLE DEVELOPMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
20520492	JOURNAL OF INTENSIVE CARE	EDUCAÇÃO FÍSICA                                   	A2
20520573	ENDOCRINOLOGY, DIABETES & METABOLISM CASE REPORTS	EDUCAÇÃO FÍSICA                                   	B2
20520751	JOURNAL OF BIOLOGY	MEDICINA II                                       	C
20521537	MATERIALS CHEMISTRY FRONTIERS	ASTRONOMIA / FÍSICA                               	A1
20521553	INORGANIC CHEMISTRY FRONTIERS	ASTRONOMIA / FÍSICA                               	A1
20521707	PHARMACOLOGY RESEARCH & PERSPECTIVES	CIÊNCIAS BIOLÓGICAS II                            	A2
20521758	AUSTRAL ENTOMOLOGY	BIODIVERSIDADE	A3
20521839	BMC HEMATOLOGY	CIÊNCIAS BIOLÓGICAS III                           	B1
20521847	BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION	BIOTECNOLOGIA                                     	A2
20522525	INTERNATIONAL UNION OF CRYSTALLOGRAPHY JOURNAL	ASTRONOMIA / FÍSICA                               	A1
20522975	NEW MICROBES AND NEW INFECTIONS	CIÊNCIAS AMBIENTAIS	B1
20523211	JOURNAL OF PHARMACEUTICAL POLICY AND PRACTICE	ECONOMIA                                          	B2
2052336X	JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE & ENGINEERING	CIÊNCIAS AGRÁRIAS I                               	A4
20524129	ORGANIC CHEMISTRY FRONTIERS	ASTRONOMIA / FÍSICA                               	A1
20524374	ANNALS OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	SAÚDE COLETIVA                                    	A3
20524897	BMJ OPEN DIABETES RESEARCH & CARE	FARMÁCIA                                          	A3
20524900	JOURNAL OF WORLD POPULAR MUSIC (IMPRESSO)	COMUNICAÇÃO E INFORMAÇÃO	B1
20525206	ACTA CRYSTALLOGRAPHICA SECTION B: STRUCTURAL SCIENCE, CRYSTAL ENGINEERING AND MATERALS	ASTRONOMIA / FÍSICA                               	A2
20525656	EUROPEAN JOURNAL FOR PERSON CENTERED HEALTHCARE	FILOSOFIA	A2
20526113	VETERINARY RECORD OPEN	MEDICINA VETERINÁRIA                              	A4
20526121	VETERINARY RECORD CASE REPORTS	MEDICINA VETERINÁRIA                              	B3
20527276	HORTICULTURE RESEARCH	CIÊNCIA DE ALIMENTOS                              	A1
20527764	EUROPEAN JOURNAL OF ECONOMICS AND ECONOMIC POLICIES: INTERVENTION.	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A2
20529538	BMC OBESITY	MEDICINA III                                      	A2
20530196	THE ANTHROPOCENE REVIEW	BIODIVERSIDADE	A1
2053082X	INTERNATIONAL JOURNAL OF DATA SCIENCE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
20531095	VETERINARY MEDICINE AND SCIENCE	BIOTECNOLOGIA                                     	A3
20531400	ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY	CIÊNCIAS AMBIENTAIS	A1
20531583	2D MATERIALS	ASTRONOMIA / FÍSICA                               	A1
20531591	MATERIALS RESEARCH EXPRESS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
20531680	RESEARCH & POLITICS	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A1
2053180X	INTERNATIONAL JOURNAL OF MODERN BIOLOGICAL RESEARCH	CIÊNCIAS BIOLÓGICAS I                             	C
20531818	INTERNATIONAL JOURNAL OF APPLIED MICROBIOLOGY AND BIOTECHNOLOGY RESEARCH	CIÊNCIAS AGRÁRIAS I                               	B4
20532296	ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY	ASTRONOMIA / FÍSICA                               	B1
2053230X	ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS	ASTRONOMIA / FÍSICA                               	B1
20532733	ACTA CRYSTALLOGRAPHICA A - FOUNDATION AND ADVANCES	ASTRONOMIA / FÍSICA                               	A4
20533624	OPEN HEART (BMJ)	INTERDISCIPLINAR                                  	A4
20533721	JMM CASE REPORTS	CIÊNCIAS BIOLÓGICAS III                           	C
20534051	BRITISH JOURNAL OF MARKETING STUDIES (ONLINE)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
20534213	EUROPEAN MEDICAL JOURNAL UROLOGY	INTERDISCIPLINAR                                  	B3
20534248	EUROPEAN MEDICAL JOURNAL: NEPHROLOGY	MEDICINA I                                        	C
20534604	JOURNAL OF ENTREPRENEURSHIP IN EMERGING ECONOMIES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
20534620	JOURNAL OF SCIENCE AND TECHNOLOGY POLICY MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
20538626	E-INTERNATIONAL RELATIONS	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B3
20538790	LUPUS SCIENCE & MEDICINE (ONLINE)	MEDICINA I                                        	A4
20538855	OXFORD MEDICAL CASE REPORTS	MEDICINA I                                        	B3
20538871	CEREBELLUM & ATAXIAS	MEDICINA II                                       	A3
20539517	BIG DATA & SOCIETY	SAÚDE COLETIVA                                    	A1
20539738	EUROPEAN JOURNAL OF ACADEMIC RESEARCH	ASTRONOMIA / FÍSICA                               	C
20539843	TEACHING ANTHROPOLOGY:  A JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE	ANTROPOLOGIA / ARQUEOLOGIA                        	B4
20541058	NURSING OPEN	ENFERMAGEM                                        	A3
20542240	HUMAN REMAINS AND VIOLENCE: AN INTERDISCIPLINARY JOURNAL	ANTROPOLOGIA / ARQUEOLOGIA                        	C
20542690	WOMEN'S MIDLIFE HEALTH	CIÊNCIAS BIOLÓGICAS I                             	C
20542704	JRSM OPEN - JOURNAL OF THE ROYAL SOCIETY OF MEDICINE	INTERDISCIPLINAR                                  	B1
20543131	JOURNAL OF DIALOGUE STUDIES	ARQUITETURA, URBANISMO E DESIGN	B3
2054345X	HUMAN GENOME VARIATIONS	CIÊNCIAS BIOLÓGICAS I                             	B3
20543581	CANADIAN JOURNAL OF KIDNEY HEALTH AND DISEASE	MEDICINA I                                        	A4
20544049	GEO: GEOGRAPHY AND ENVIRONMENT	BIODIVERSIDADE	A2
20544170	STANISLAVSKI STUDIES	ARTES	B1
20544251	GLOBAL MENTAL HEALTH	MEDICINA II                                       	B2
20544650	WORK, AGING AND RETIREMENT	PSICOLOGIA                                        	A3
20544723	JOURNAL OF INTEGRATIVE PSYCHOLOGY AND THERAPEUTICS	BIOTECNOLOGIA                                     	C
20544774	BMJ OPEN GASTROENTEROLOGY	CIÊNCIA DA COMPUTAÇÃO                             	A4
20545703	ROYAL SOCIETY OPEN SCIENCE	ARQUITETURA, URBANISMO E DESIGN	A1
20546181	EUROPEAN MEDICAL JOURNAL. DIABETES	INTERDISCIPLINAR                                  	C
20547064	ASTHMA RESEARCH AND PRACTICE	MEDICINA II                                       	C
20547404	ARCHIVES OF BUSINESS RESEARCH	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
20548397	JOURNAL OF HIP PRESERVATION SURGERY	MEDICINA III                                      	A4
20548923	SCIENCE AND TECHNOLOGY OF ARCHAEOLOGICAL RESEARCH	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
2054958X	MATERNAL HEALTH, NEONATOLOGY AND PERINATOLOGY	MEDICINA I                                        	C
20550278	NATURE PLANTS	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
20550286	ADVANCES IN SOCIAL SCIENCES RESEARCH JOURNAL	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
20550340	ADVANCED MANUFACTURING: POLYMER & COMPOSITES SCIENCE	CIÊNCIAS AGRÁRIAS I                               	A3
20550391	JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY (ONLINE)	CIÊNCIA DE ALIMENTOS                              	A3
20550472	JOURNAL OF LITHIC STUDIES	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
2055091X	JOURNAL OF HISTOLOGY & HISTOPATHOLOGY	CIÊNCIAS BIOLÓGICAS I                             	B2
20550928	BMC NUTRITION	ENFERMAGEM                                        	B2
20551045	PALGRAVE COMMUNICATIONS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
20551169	JOURNAL OF FELINE MEDICINE AND SURGERY OPEN REPORTS	BIOTECNOLOGIA                                     	B3
20551428	CRITICAL STUDIES	ANTROPOLOGIA / ARQUEOLOGIA                        	B4
20552076	DIGITAL HEALTH	ENFERMAGEM                                        	B3
20552173	MULTIPLE SCLEROSIS JOURNAL - EXPERIMENTAL, TRANSLATIONAL AND CLINICAL	EDUCAÇÃO FÍSICA                                   	B2
20552238	OBESITY SCIENCE & PRACTICE	MEDICINA I                                        	B1
20552386	PHYSICAL THERAPY AND REHABILITATION	MEDICINA II                                       	B2
20553714	THE IFCOLOG JOURNAL OF LOGICS AND THEIR APPLICATIONS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
20554877	THE DEPOSITIONAL RECORD	ENGENHARIAS III                                   	B2
20555008	NPJ BIOFILMS AND MICROBIOMES (ONLINE)	CIÊNCIAS AGRÁRIAS I                               	A1
20555563	PALEOAMERICA: A JOURNAL OF EARLY HUMAN MIGRATION AND DISPERSAL	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
20555660	PORCINE HEALTH MANAGEMENT	CIÊNCIAS AGRÁRIAS I                               	A2
20555784	PILOT AND FEASIBILITY STUDIES	EDUCAÇÃO FÍSICA                                   	B1
20555822	ESC HEART FAILURE	CIÊNCIAS BIOLÓGICAS I                             	A3
20556128	BRITISH JOURNAL OF VIROLOGY	CIÊNCIAS BIOLÓGICAS I                             	C
20556225	JOURNAL OF SERVICE THEORY AND PRACTICE	ENGENHARIAS III                                   	A2
2055642X	BMJ INNOVATIONS	MEDICINA I                                        	A2
20556594	ADVERTISING & MARKETING	DIREITO                                           	C
20556640	JOURNAL OF VIRUS ERADICATION	CIÊNCIAS BIOLÓGICAS III                           	A4
20556764	NANOSCALE HORIZONS (ONLINE)	ASTRONOMIA / FÍSICA                               	A1
20556837	EUROPEAN HEART JOURNAL - CARDIOVASCULAR PHARMACOTHERAPY	CIÊNCIAS BIOLÓGICAS II                            	A1
20556845	EUROPEAN HEART JOURNAL - CARDIOVASCULAR PHARMACOTHERAPY	MEDICINA I                                        	A1
20557094	PARASITOLOGY OPEN	CIÊNCIAS AGRÁRIAS I                               	C
20557132	COMMUNICATION DESIGN	LINGUíSTICA E LITERATURA	A3
20557159	THE BRITISH INSTITUTE OF RADIOLOGY	MEDICINA I                                        	C
20557647	BMJ OPEN SPORT & EXERCISE MEDICINE	EDUCAÇÃO FÍSICA                                   	A4
20557795	JOURNAL OF NETWORK THEORY IN FINANCE (PRINT)	ENGENHARIAS III                                   	B3
20558260	CLINICAL DIABETES AND ENDOCRINOLOGY	INTERDISCIPLINAR                                  	A4
20562802	PAPERS IN PALAEONTOLOGY	BIODIVERSIDADE	A2
20562969	YOUTH VOICE JOURNAL	GEOGRAFIA                                         	B3
20563051	SOCIAL MEDIA + SOCIETY	COMUNICAÇÃO E INFORMAÇÃO	A1
20563132	BMC ZOOLOGY	GEOCIÊNCIAS                                       	A1
20563264	HUNTER GATHERER RESEARCH	ANTROPOLOGIA / ARQUEOLOGIA                        	B2
20563485	REMOTE SENSING IN ECOLOGY AND CONSERVATION	BIODIVERSIDADE	A1
20564538	THE JOURNAL OF PATHOLOGY. CLINICAL RESEARCH	MEDICINA III                                      	A1
20564546	INTEGRATIVE CANCER SCIENCE AND THERAPEUTICS	CIÊNCIAS BIOLÓGICAS I                             	B3
20564724	BJPSYCH OPEN	CIÊNCIAS BIOLÓGICAS I                             	A4
20564880	INTERNATIONAL JOURNAL OF INFORMATION AND LEARNING TECHNOLOGY	CIÊNCIA DA COMPUTAÇÃO                             	A2
20564929	INTERNATIONAL JOURNAL OF PUBLIC LEADERSHIP	DIREITO                                           	A4
20565135	JOHNSON MATTHEY TECHNOLOGY REVIEW	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
20565607	INTERNATIONAL JOURNAL OF TOURISM CITIES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
20565623	FUTURE SCIENCE OA	BIODIVERSIDADE	A4
20565933	RMD OPEN	MEDICINA I                                        	A3
20565968	CELL DISCOVERY	MEDICINA I                                        	A1
20566271	JOURNAL OF BUSINESS AND RETAIL MANAGEMENT RESEARCH	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
20566360	INTEGRATIVE MOLECULAR MEDICINE	MEDICINA I                                        	C
20566387	NPJ QUANTUM INFORMATION	ASTRONOMIA / FÍSICA                               	A1
20566646	GLOBAL CHALLENGES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
20566700	OPEN LIBRARY OF HUMANITIES	COMUNICAÇÃO E INFORMAÇÃO	A3
2056676X	NATURE REVIEWS DISEASE PRIMERS	CIÊNCIAS BIOLÓGICAS II                            	A1
20567189	NPJ SYSTEMS BIOLOGY AND APPLICATIONS	MEDICINA I                                        	A1
20567405	JOURNAL OF AGRICULTURAL AND APPLIED ECONOMICS (JAAE)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
20567529	RESEARCH INVOLVEMENT AND ENGAGEMENT	ENFERMAGEM                                        	A1
20567936	NPJ SCIENCE OF LEARNING	ASTRONOMIA / FÍSICA                               	A1
20567944	NPJ GENOMIC MEDICINE (ON LINE)	CIÊNCIA DA COMPUTAÇÃO                             	A1
2056807X	BDJ OPEN	ENFERMAGEM                                        	B3
20568339	INTEGRATIVE FOOD, NUTRITION AND METABOLISM (IFNM)	BIODIVERSIDADE	C
20568827	INTEGRATIVE OBESITY AND DIABETES	CIÊNCIAS BIOLÓGICAS II                            	C
20569122	JOURNAL OF ORGANISATIONAL STUDIES AND INNOVATION	ENGENHARIAS III                                   	C
20569440	INTERNATIONAL JOURNAL OF COMPETITIVENESS	ENGENHARIAS III                                   	C
20569793	JOURNAL OF MEDIA CRITIQUES (ONLINE)	COMUNICAÇÃO E INFORMAÇÃO	A4
20569890	ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS	ASTRONOMIA / FÍSICA                               	B2
20569920	INTERNATIONAL JOURNAL OF RETINA AND VITREOUS	BIOTECNOLOGIA                                     	A2
20570082	ARCHIVES OF PHYSIOTHERAPY	EDUCAÇÃO FÍSICA                                   	B2
20570201	BUSINESS AND HUMAN RIGHTS JOURNAL	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
20570546	INTERNATIONAL JOURNAL OF BIBLIOMETRICS IN BUSINESS AND MANAGEMENT (ONLINE)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
20570570	BULLETIN OF ZOOLOGICAL NOMENCLATURE	BIODIVERSIDADE	B4
20571577	VIRUS EVOLUTION	CIÊNCIAS AGRÁRIAS I                               	A1
20571976	BIOMEDICAL PHYSICS & ENGINEERING EXPRESS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
20573960	NPJ COMPUTATIONAL MATERIALS	ASTRONOMIA / FÍSICA                               	A1
2057410X	THE INTERNATIONAL JOURNAL OF PSYCHOANALYSIS (EN ESPANOL)	PSICOLOGIA                                        	B2
20574347	CLINICAL AND EXPERIMENTAL DENTAL RESEARCH	ASTRONOMIA / FÍSICA                               	B2
20575645	EUROPEAN JOURNAL OF INTERNATIONAL SECURITY	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B1
20575696	MARTIAL ARTS STUDIES	PSICOLOGIA                                        	B4
20575858	MICROBIAL GENOMICS	BIOTECNOLOGIA                                     	A2
20577176	PERFORMANCE PHILOSOPHY	ARTES	A1
20581742	EUROPEAN HEART JOURNAL: QUALITY OF CARE AND CLINICAL OUTCOMES	MEDICINA I                                        	A1
20583680	BARTHES STUDIES	LINGUíSTICA E LITERATURA	B2
20583702	JOURNAL OF INTEGRATIVE CARDIOLOGY	CIÊNCIAS BIOLÓGICAS I                             	C
20585233	YEARBOOK IN COSMOPOLITAN STUDIES	ANTROPOLOGIA / ARQUEOLOGIA                        	B4
20585276	NATURE MICROBIOLOGY	BIOTECNOLOGIA                                     	A1
20585314	DENTAL, ORAL AND CRANIOFACIAL RESEARCH	CIÊNCIAS BIOLÓGICAS II                            	B3
20585985	JOURNAL OF INTEGRABLE SYSTEMS	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	C
20586124	SPINAL CORD SERIES AND CASES	EDUCAÇÃO FÍSICA                                   	B3
20587422	OPEN REVIEW OF MANAGEMENT, BANKING AND FINANCE	DIREITO                                           	B3
20587449	GLOBAL SUMMITRY	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B1
20587546	NATURE ENERGY	ENGENHARIAS III                                   	A1
20587716	CELL DEATH DISCOVERY (ON LINE)	BIOTECNOLOGIA                                     	A4
20588313	INTERNATIONAL JOURNAL OF TRANSPORT DEVELOPMENT AND INTEGRATION	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       	A4
2058850X	BJHS THEMES	EDUCAÇÃO                                          	B3
20588585	FLEXIBLE AND PRINTED ELECTRONICS	ASTRONOMIA / FÍSICA                               	A2
20588615	RESEARCH INTEGRITY AND PEER REVIEW	ANTROPOLOGIA / ARQUEOLOGIA                        	B1
20589565	QUANTUM SCIENCE AND TECHNOLOGY	ASTRONOMIA / FÍSICA                               	A1
20589689	MOLECULAR SYSTEMS DESIGN & ENGINEERING	ASTRONOMIA / FÍSICA                               	A2
20589883	REACTION CHEMISTRY & ENGINEERING	ASTRONOMIA / FÍSICA                               	A1
20590105	NPJ VACCINES	BIOTECNOLOGIA                                     	A1
20590377	CLINICAL RESEARCH AND TRIALS	BIOTECNOLOGIA                                     	C
20590393	CLINICAL CASE REPORTS AND REVIEWS	ENFERMAGEM                                        	B4
20590903	INTERNATIONAL JOURNAL OF EXPORT MARKETING	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
20591055	INTERNATIONAL JOURNAL OF MULTINATIONAL CORPORATION STRATEGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
20592302	HUMAN LEUKOCYTE ANTIGENS	BIODIVERSIDADE	A3
2059268X	JOURNAL OF TRANSLATIONAL SCIENCE	FARMÁCIA                                          	C
20593635	SIGNAL TRANSDUCTION AND TARGETED THERAPY	CIÊNCIAS BIOLÓGICAS II                            	A1
20594372	GLOBAL MEDIA AND CHINA	COMUNICAÇÃO E INFORMAÇÃO	A3
20594755	JOURNAL OF 3D PRINTING IN MEDICINE	CIÊNCIAS AMBIENTAIS	B3
20594798	GLOBAL SUSTAINABILITY	DIREITO                                           	C
20595794	CROSS CULTURAL & STRATEGIC MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
20595891	VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS	ENGENHARIAS III                                   	A2
20596014	REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
20596553	NEURONAL SIGNALING	CIÊNCIAS BIOLÓGICAS II                            	B3
20596596	REMITTANCES REVIEW	INTERDISCIPLINAR                                  	A4
20597029	ESMO OPEN	CIÊNCIAS BIOLÓGICAS I                             	A2
20597770	INTERNATIONAL JOURNAL OF SUSTAINABLE REAL ESTATE AND CONSTRUCTION ECONOMICS (IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	C
20597800	CELL AND GENE THERAPY INSIGHTS (ONLINE)	MEDICINA II                                       	C
20597908	BMJ GLOBAL HEALTH	CIÊNCIA DA COMPUTAÇÃO                             	A3
20597983	ACTA CRYSTALLOGRAPHICA SECTION D	BIOTECNOLOGIA                                     	A1
20597991	METHODOLOGICAL INNOVATIONS	ENFERMAGEM                                        	B1
20598521	MRS ADVANCES	ASTRONOMIA / FÍSICA                               	B2
20598564	FOOD AND NUTRITION REPORT	CIÊNCIAS BIOLÓGICAS II                            	C
20598696	STROKE AND VASCULAR NEUROLOGY	MEDICINA II                                       	A2
20599781	JOURNAL OF SYSTEMS AND INTEGRATIVE NEUROSCIENCE	CIÊNCIAS BIOLÓGICAS II                            	B2
2060467X	JOURNAL OF ENVIRONMENTAL GEOGRAPHY	GEOGRAFIA                                         	A4
