ISSN	Título	Área de Avaliação	Estrato
00029149	THE AMERICAN JOURNAL OF CARDIOLOGY	CIÊNCIAS BIOLÓGICAS II                            	A2
00029165	THE AMERICAN JOURNAL OF CLINICAL NUTRITION	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00029173	AMERICAN JOURNAL OF CLINICAL PATHOLOGY	MEDICINA I                                        	A3
00029246	AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	INTERDISCIPLINAR                                  	B1
00029254	AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE	MEDICINA VETERINÁRIA                              	A2
00029262	AMERICAN JOURNAL OF EPIDEMIOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00029270	THE AMERICAN JOURNAL OF GASTROENTEROLOGY	CIÊNCIAS BIOLÓGICAS I                             	A1
00029297	AMERICAN JOURNAL OF HUMAN GENETICS	CIÊNCIAS BIOLÓGICAS I                             	A1
00029327	AMERICAN JOURNAL OF MATHEMATICS (PRINT)	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A1
00029343	THE AMERICAN JOURNAL OF MEDICINE	EDUCAÇÃO FÍSICA                                   	A1
00029378	AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (PRINT)	BIOTECNOLOGIA                                     	A1
00029394	AMERICAN JOURNAL OF OPHTHALMOLOGY	EDUCAÇÃO FÍSICA                                   	A1
00029416	AMERICAN JOURNAL OF ORTHODONTICS	ENGENHARIAS IV                                    	A1
00029440	THE AMERICAN JOURNAL OF PATHOLOGY (PRINT)	BIOTECNOLOGIA                                     	A1
00029459	AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	FARMÁCIA                                          	A2
00029483	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00029505	AMERICAN JOURNAL OF PHYSICS	ASTRONOMIA / FÍSICA                               	A3
00029513	THE AMERICAN JOURNAL OF PHYSIOLOGY	CIÊNCIAS BIOLÓGICAS I                             	C
0002953X	THE AMERICAN JOURNAL OF PSYCHIATRY	CIÊNCIAS BIOLÓGICAS I                             	A1
00029548	THE AMERICAN JOURNAL OF PSYCHOANALYSIS	INTERDISCIPLINAR                                  	A2
00029602	AMERICAN JOURNAL OF SOCIOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00029610	THE AMERICAN JOURNAL OF SURGERY	INTERDISCIPLINAR                                  	A2
00029629	THE AMERICAN JOURNAL OF THE MEDICAL SCIENCES (PRINT)	MEDICINA I                                        	A3
00029637	THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
00029645	AMERICAN JOURNAL OF VETERINARY RESEARCH	BIODIVERSIDADE	A3
00029726	THE JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION	CIÊNCIA DE ALIMENTOS                              	A4
00029890	THE AMERICAN MATHEMATICAL MONTHLY	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B2
00029920	AMERICAN MATHEMATICAL SOCIETY. NOTICES	CIÊNCIA DA COMPUTAÇÃO                             	B2
00029939	PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY	CIÊNCIA DA COMPUTAÇÃO                             	A2
00029947	TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A1
